id,title,artist,mood,tempo,genre,artist_type,chart_date,length_sec,top,year_of_birth
76,10 Bands,DRAKE,Cool,Medium Tempo,Urban,Male,20150228,304,0,1986
77,Raise Your Glass,P!NK,Excited,Medium Tempo,Pop,Female,20101211,232,1,1988
78,Neon Lights,DEMI LOVATO,Urgent,Medium Tempo,Pop,Female,20140111,372,0,1992
79,Anything Goes,FLORIDA GEORGIA LINE,Rowdy,Medium Tempo,Rock,Male,20141011,226,0,1987
80,Umbrella,RIHANNA featuring JAY-Z,Energizing,Medium Tempo,Urban,Mixed,20070609,0,1,1988
81,Shut Up + Dance,WALK THE MOON,Defiant,Medium Tempo,Alternative & Punk,Male,20141122,0,0,1982
82,Sunny And 75,JOE NICHOLS,Yearning,Medium Tempo,Traditional,Male,20140104,300,0,1970
83,Happy,PHARRELL WILLIAMS,Energizing,Medium Tempo,Pop,Male,20140308,222,1,1985
84,Two Night Town,JASON ALDEAN,Empowering,Medium Tempo,Traditional,Male,20140927,0,0,0
85,Marry Me,JASON DERULO,Excited,Medium Tempo,Pop,Male,20140104,279,0,1979
86,Cool Kids,ECHOSMITH,Yearning,Medium Tempo,Alternative & Punk,Mixed,20140726,331,0,1981
87,07-Nov,BEYONCE,Energizing,Fast Tempo,Urban,Female,20150307,217,0,1981
88,Best Friends,SOPHIA GRACE,Empowering,Medium Tempo,Urban,Female,20150124,230,0,1977
89,Bleeding Love,LEONA LEWIS,Defiant,Medium Tempo,Urban,Female,20080405,257,1,1985
90,Birthday,KATY PERRY,Excited,Medium Tempo,Pop,Female,20140426,278,0,1975
91,Walk Thru,RICH HOMIE QUAN featuring PROBLEM,Sensual,Slow Tempo,Urban,Male,20140906,242,0,1990
92,Santa Tell Me,ARIANA GRANDE,Sensual,Medium Tempo,Pop,Female,20141213,247,0,1993
93,Let It Be,TESSANNE CHIN & ADAM LEVINE,Empowering,Medium Tempo,Rock,Male,20140104,267,0,1988
94,Applause,LADY GAGA,Urgent,Fast Tempo,Pop,Female,20140104,210,0,1985
95,Rude,MAGIC!,Sensual,Medium Tempo,Other,Male,20140726,228,1,1981
96,Rude Boy,RIHANNA,Urgent,Fast Tempo,Urban,Female,20100327,259,1,1984
97,Sing,ED SHEERAN,Urgent,Medium Tempo,Pop,Male,20140426,382,0,1971
98,Drunk Last Night,ELI YOUNG BAND,Yearning,Medium Tempo,Traditional,Male,20140104,263,0,1973
99,A Little Too Much,SHAWN MENDES,Empowering,Medium Tempo,Pop,Male,20150221,225,0,1975
100,Day Drinking,LITTLE BIG TOWN,Urgent,Medium Tempo,Traditional,Mixed,20140621,329,0,1971
101,Yeah,JOE NICHOLS,Yearning,Medium Tempo,Traditional,Male,20140510,0,0,1981
102,So Sick,NE-YO,Sensual,Slow Tempo,Urban,Male,20060318,146,1,1978
103,Alone Together,FALL OUT BOY,Defiant,Medium Tempo,Alternative & Punk,Male,20140104,333,0,1981
104,Thinking Out Loud,ED SHEERAN,Empowering,Slow Tempo,Pop,Male,20141025,319,0,1973
105,No Role Modelz,J. COLE,Cool,Medium Tempo,Urban,Male,20141227,323,0,1981
106,My Life Would Suck Without You,KELLY CLARKSON,Yearning,Medium Tempo,Pop,Female,20090207,223,1,1977
107,Close Your Eyes,PARMALEE,Empowering,Medium Tempo,Traditional,Male,20141011,272,0,1981
108,You And Your Friends,WIZ KHALIFA featuring SNOOP DOGG & TY DOLLAR $IGN,Cool,Slow Tempo,Urban,Male,20141004,0,0,1975
109,Word Crimes,WEIRD AL YANKOVIC,Excited,Medium Tempo,Other,Male,20140802,568,0,1978
110,Worth It,FIFTH HARMONY featuring KID INK,Energizing,Medium Tempo,Pop,Mixed,20150207,245,0,1976
111,Roller Coaster,LUKE BRYAN,Yearning,Medium Tempo,Traditional,Male,20140802,210,0,1977
112,Lost Without U,CHRIS JAMISON & ADAM LEVINE,Sensual,Medium Tempo,Pop,Male,20150103,4150,0,1979
113,Only One,KANYE WEST featuring PAUL McCARTNEY,Urgent,Fast Tempo,Rock,Mixed,20150117,208,0,1988
114,Out The Speakers,A-TRAK + MILO & OTIS featuring RICH KIDZ,Aggressive,Medium Tempo,Electronica,Male,20150221,207,0,1971
115,Midnight Memories,ONE DIRECTION,Urgent,Medium Tempo,Pop,Male,20140215,188,0,1994
116,Drop It Like It's Hot,SNOOP DOGG,Cool,Slow Tempo,Urban,Male,20041211,115,1,1982
117,Don't,ED SHEERAN,Cool,Slow Tempo,Pop,Male,20140628,180,0,1977
118,Homegrown,ZAC BROWN BAND,Empowering,Medium Tempo,Alternative & Punk,Male,20150131,215,0,1981
119,Let It Go,DEMI LOVATO,Empowering,Medium Tempo,Pop,Female,20140104,232,0,1992
120,Set Fire To The Rain,ADELE,Yearning,Medium Tempo,Pop,Female,20120204,152,1,1988
121,Gold Digger,KANYE WEST featuring JAMIE FOXX,Aggressive,Medium Tempo,Urban,Male,20050917,271,1,1970
122,Don't Matter,AKON,Sensual,Medium Tempo,Urban,Male,20070407,246,1,1973
123,Beating Heart,ELLIE GOULDING,Yearning,Medium Tempo,Electronica,Female,20140405,198,0,1977
124,Studio,SCHOOLBOY Q featuring BJ THE CHICAGO KID,Sensual,Medium Tempo,Urban,Male,20140621,270,0,1983
125,3,BRITNEY SPEARS,Energizing,Fast Tempo,Pop,Female,20091024,205,1,1970
126,Slow Me Down,SARA EVANS,Upbeat,Medium Tempo,Traditional,Female,20140329,149,0,1969
127,Counting Stars,ONEREPUBLIC,Urgent,Medium Tempo,Pop,Male,20140104,225,0,1979
128,Blurred Lines,ROBIN THICKE featuring T.I. & PHARRELL,Energizing,Medium Tempo,Pop,Male,20140104,151,0,1977
129,My Baby's Gor A Smile On Her Face,CRAIG WAYNE BOYD,Yearning,Medium Tempo,Traditional,Male,20150103,178,0,1978
130,I Don't Dance,LEE BRICE,Upbeat,Medium Tempo,Other,Male,20140503,227,0,0
131,Get Her Back,ROBIN THICKE,Easygoing,Medium Tempo,Pop,Male,20140712,182,0,0
132,Whistle,FLO RIDA,Energizing,Medium Tempo,Urban,Male,20120825,198,1,1979
133,I Kissed A Girl,KATY PERRY,Aggressive,Fast Tempo,Pop,Female,20080705,156,1,1984
134,This Is How We Do,KATY PERRY,Energizing,Medium Tempo,Pop,Female,20140816,176,0,1984
135,Habits (Stay High),TOVE LO,Sophisticated,Medium Tempo,Electronica,Female,20140614,0,0,0
136,Animals,MARTIN GARRIX,Defiant,Fast Tempo,Alternative & Punk,Male,20140104,240,0,0
137,Get Ur Freak On,"MISSY ""MISDEMEANOR"" ELLIOTT",Defiant,Medium Tempo,Urban,Female,20150221,175,0,0
138,Bad Blood,BASTILLE,Excited,Fast Tempo,Alternative & Punk,Male,20140426,218,0,1973
139,Give Me Back My Hometown,ERIC CHURCH,Empowering,Medium Tempo,Traditional,Male,20140125,239,0,1977
140,Slow Jamz,TWISTA feat KANYE WEST & JAMIE FOXX,Yearning,Medium Tempo,Urban,Male,20040221,250,1,1973
141,Fever,THE BLACK KEYS,Brooding,Medium Tempo,Alternative & Punk,Male,20140412,251,0,0
142,My Baby's Guns N' Roses,BRANTLEY GILBERT,Empowering,Medium Tempo,Traditional,Male,20140517,270,0,1985
143,Wonderland,TAYLOR SWIFT,Empowering,Medium Tempo,Pop,Female,20150307,252,0,1989
144,Wasting All These Tears,CASSADEE POPE,Empowering,Slow Tempo,Traditional,Female,20140104,217,0,0
145,I Won't Let You Down,OK GO,Energizing,Medium Tempo,Alternative & Punk,Male,20141115,0,0,0
146,Hookah,TYGA featuring YOUNG THUG,Defiant,Medium Tempo,Urban,Male,20140830,253,0,0
147,Kiss Me Kiss Me,5 SECONDS OF SUMMER,Stirring,Fast Tempo,Pop,Male,20140705,269,0,1996
148,Somebody That I Used To Know,CHRISTINA GRIMMIE & ADAM LEVINE,Yearning,Medium Tempo,Pop,Mixed,20140607,220,0,0
149,Give It To Me,TIMBALAND feat NELLY FURTADO & JUSTIN TIMBERLAKE,Energizing,Medium Tempo,Pop,Mixed,20070421,93,1,1972
150,Grillz,"NELLY featuring PAUL WALL, ALI & GIPP",Cool,Medium Tempo,Urban,Male,20060121,701,1,1974
151,London Bridge,FERGIE,Cool,Medium Tempo,Pop,Female,20060819,310,1,1975
152,Centuries,FALL OUT BOY,Urgent,Medium Tempo,Alternative & Punk,Male,20140927,209,0,1984
153,Unconditionally,KATY PERRY,Yearning,Medium Tempo,Pop,Female,20140104,241,0,1984
154,Shell Shocked,"JUICY J, WIZ KHALIFA & TY DOLLA $IGN featuring KILL THE NOIS",Cool,Medium Tempo,Urban,Male,20140830,271,0,0
155,Wet Dreamz,J. COLE,Cool,Medium Tempo,Urban,Male,20141227,300,0,1985
156,Am I Wrong,NICO & VINZ,Yearning,Medium Tempo,Pop,Male,20140503,211,0,1990
157,Down,JAY SEAN featuring LIL WAYNE,Cool,Medium Tempo,Urban,Male,20091017,223,1,1981
158,She Knows,J. COLE featuring AMBER COFFMAN & THE CULTS,Aggressive,Medium Tempo,Urban,Mixed,20140125,224,0,1985
159,The Days,AVICII,Yearning,Medium Tempo,Electronica,Male,20141025,240,0,1989
160,Girls Chase Boys,INGRID MICHAELSON,Yearning,Medium Tempo,Pop,Female,20140426,234,0,1979
161,Do I Make You Proud,TAYLOR HICKS,Empowering,Medium Tempo,Pop,Male,20060701,352,1,1976
162,Na Na,TREY SONGZ,Sensual,Slow Tempo,Urban,Male,20140208,193,0,1984
163,Sunshine & Whiskey,FRANKIE BALLARD,Empowering,Medium Tempo,Traditional,Male,20140726,233,0,0
164,Odio,ROMEO SANTOS featuring DRAKE,Romantic,Medium Tempo,Traditional,Male,20140215,6743,0,1986
165,Everything I Didn't Say,5 SECONDS OF SUMMER,Melancholy,Medium Tempo,Pop,Male,20140802,243,0,1996
166,Maps,MAROON 5,Urgent,Medium Tempo,Pop,Male,20140705,203,0,1979
167,Waves,MR. PROBZ,Urgent,Fast Tempo,Other,Male,20140906,249,0,0
168,Someone Like You,ADELE,Sophisticated,Medium Tempo,Pop,Female,20110917,235,1,1988
169,Life Of The Party,SHAWN MENDES,Empowering,Medium Tempo,Pop,Male,20140712,203,0,1999
170,A Man Who Was Gonna Die Young,ERIC CHURCH,Sentimental,Slow Tempo,Traditional,Male,20140215,234,0,1977
171,Hope You Get Lonely Tonight,COLE SWINDELL,Empowering,Medium Tempo,Traditional,Male,20140628,232,0,1983
172,The Devil Is A Lie,RICK ROSS featuring JAY Z,Cool,Medium Tempo,Urban,Male,20140322,230,0,0
173,River Bank,BRAD PAISLEY,Rowdy,Medium Tempo,Traditional,Male,20140524,191,0,1972
174,The Hanging Tree,JAMES NEWTON HOWARD featuring JENNIFER LAWRENCE,Peaceful,Medium Tempo,Soundtrack,Mixed,20141213,235,0,0
175,Grenade,BRUNO MARS,Brooding,Medium Tempo,Pop,Male,20110108,773,1,1985
176,We Found Love,RIHANNA featuring CALVIN HARRIS,Excited,Medium Tempo,Pop,Female,20111112,74,1,1988
177,Royals,LORDE,Cool,Medium Tempo,Electronica,Female,20140104,265,0,1996
178,Collard Greens,SCHOOLBOY Q featuring KENDRICK LAMAR,Defiant,Medium Tempo,Urban,Male,20140208,298,0,0
179,All About That Bass,MEGHAN TRAINOR,Cool,Medium Tempo,Pop,Female,20140920,228,1,1993
180,Homegrown Honey,DARIUS RUCKER,Yearning,Medium Tempo,Traditional,Male,20141122,243,0,1966
181,Little Red Wagon,MIRANDA LAMBERT,Yearning,Medium Tempo,Traditional,Female,20150228,252,0,1983
182,This Is Why I'm Hot,MIMS,Cool,Medium Tempo,Urban,Male,20070310,288,1,1981
183,Can't Stop Dancin',BECKY G,Sensual,Medium Tempo,Pop,Female,20150110,162,0,1997
184,Burnin' Up,JESSIE J featuring 2 CHAINZ,Excited,Medium Tempo,Pop,Mixed,20141101,301,0,0
185,Viva La Vida,COLDPLAY,Empowering,Medium Tempo,Alternative & Punk,Male,20080628,205,1,1977
186,Outside,CALVIN HARRIS featuring ELLIE GOULDING,Yearning,Medium Tempo,Pop,Mixed,20141108,206,0,1984
187,Take It On Back,CHASE BRYANT,Gritty,Medium Tempo,Traditional,Female,20150117,238,0,0
188,Wake Up Lovin' You,CRAIG MORGAN,Urgent,Medium Tempo,Traditional,Male,20140510,270,0,1965
189,Best Mistake,ARIANA GRANDE featuring BIG SEAN,Excited,Fast Tempo,Urban,Mixed,20140830,201,0,1994
190,G.U.Y.,LADY GAGA,Urgent,Medium Tempo,Pop,Female,20140412,234,0,1986
191,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],PITBULL featuring JENNIFER LOPEZ & CLAUDIA LEITTE,Excited,Medium Tempo,Pop,Mixed,20140426,260,0,1979
192,Sanctified,RICK ROSS featuring KANYE WEST & BIG SEAN,Defiant,Medium Tempo,Urban,Male,20140322,165,0,1976
193,U Guessed It,OG MACO,Defiant,Medium Tempo,Urban,Male,20141018,276,0,0
194,Cop Car,KEITH URBAN,Empowering,Slow Tempo,Traditional,Male,20140215,91,0,1967
195,L.A.LOVE (la la),FERGIE,Sensual,Medium Tempo,Pop,Mixed,20141025,244,0,1975
196,Born This Way,LADY GAGA,Excited,Medium Tempo,Pop,Female,20110226,26,1,1986
197,Man Of The Year,SCHOOLBOY Q,Defiant,Medium Tempo,Urban,Male,20140208,258,0,0
198,Love Me Again,JOHN NEWMAN,Defiant,Medium Tempo,Urban,Male,20140104,203,0,0
199,Stay With Me,SAM SMITH,Yearning,Medium Tempo,Urban,Male,20140419,319,0,1992
200,I Lived,ONEREPUBLIC,Empowering,Medium Tempo,Pop,Male,20141213,185,0,1979
201,Partition,BEYONCE,Fiery,Medium Tempo,Soundtrack,Mixed,20140125,261,0,1981
202,Talladega,ERIC CHURCH,Empowering,Medium Tempo,Traditional,Male,20141108,296,0,1977
203,Sun Daze,FLORIDA GEORGIA LINE,Yearning,Medium Tempo,Traditional,Male,20141115,286,0,1987
204,No Love,AUGUST ALSINA,Sensual,Medium Tempo,Urban,Male,20141004,224,0,0
205,Lonely Eyes,CHRIS YOUNG,Empowering,Medium Tempo,Traditional,Male,20150103,167,0,1985
206,Often,THE WEEKND,Sensual,Medium Tempo,Urban,Male,20141101,236,0,0
207,The Monster,EMINEM featuring RIHANNA,Energizing,Medium Tempo,Urban,Mixed,20131221,259,1,1972
208,Diamonds,RIHANNA,Urgent,Medium Tempo,Urban,Female,20121201,252,1,1988
209,Bend Ova,LIL JON featuring TYGA,Aggressive,Medium Tempo,Urban,Male,20140927,333,0,0
210,Dare (La La La),SHAKIRA,Energizing,Medium Tempo,Alternative & Punk,Mixed,20140607,0,0,1977
211,Love More,CHRIS BROWN featuring NICKI MINAJ,Excited,Medium Tempo,Urban,Mixed,20140104,109,0,1989
212,Promiscuous,NELLY FURTADO featuring TIMBALAND,Energizing,Medium Tempo,Pop,Mixed,20060708,189,1,1978
213,Like A Cowboy,RANDY HOUSER,Empowering,Medium Tempo,Traditional,Male,20141220,340,0,1969
214,Empire,SHAKIRA,Sensual,Medium Tempo,Electronica,Male,20140412,200,0,1977
215,Womanizer,BRITNEY SPEARS,Energizing,Medium Tempo,Pop,Female,20081025,174,1,1981
216,"Hold On, We're Going Home",DRAKE featuring MAJID JORDAN,Cool,Medium Tempo,Urban,Male,20140104,188,0,1986
217,Sledgehammer,FIFTH HARMONY,Excited,Fast Tempo,Pop,Female,20141213,271,0,1993
218,How To Love,CHRISTINA GRIMMIE,Energizing,Medium Tempo,Urban,Male,20140524,233,0,1994
219,Perfect Storm,BRAD PAISLEY,Yearning,Medium Tempo,Traditional,Male,20141025,0,0,1972
220,Go Hard Or Go Home,WIZ KHALIFA & IGGY AZALEA,Energizing,Medium Tempo,Urban,Male,20150307,233,0,0
221,Cold One,ERIC CHURCH,Rowdy,Fast Tempo,Traditional,Male,20140823,270,0,1977
222,Amnesia,5 SECONDS OF SUMMER,Peaceful,Medium Tempo,Pop,Male,20140719,205,0,1996
223,I Can't Make You Love Me,JOSH KAUFMAN,Empowering,Medium Tempo,Rock,Female,20140524,270,0,0
224,Drunk In Love,BEYONCE featuring JAY-Z,Energizing,Medium Tempo,Urban,Mixed,20140104,234,0,1981
225,Handsome And Wealthy,MIGOS,Aggressive,Fast Tempo,Urban,Male,20141011,221,0,1991
226,Goodnight Kiss,RANDY HOUSER,Empowering,Medium Tempo,Traditional,Male,20140125,363,0,1969
227,Ride,SOMO,Sophisticated,Medium Tempo,Urban,Male,20140125,232,0,0
228,Gorilla,BRUNO MARS,Urgent,Fast Tempo,Pop,Male,20140111,253,0,1985
229,Who I Am With You,CHRIS YOUNG,Empowering,Medium Tempo,Traditional,Male,20140510,272,0,1985
230,All About It,HOODIE ALLEN featuring ED SHEERAN,Cool,Medium Tempo,Pop,Male,20150124,268,0,1991
231,Dear Future Husband,MEGHAN TRAINOR,Urgent,Fast Tempo,Pop,Female,20140927,253,0,1993
232,No Tellin',DRAKE,Cool,Medium Tempo,Urban,Male,20150307,322,0,1986
233,Who Do You Love?,YG featuring DRAKE,Cool,Medium Tempo,Urban,Male,20140329,238,0,1986
234,The Old Rugged Cross,CRAIG WAYNE BOYDE,Easygoing,Medium Tempo,Other,Male,20141227,253,0,1978
235,Wrecking Ball,MILEY CYRUS,Empowering,Medium Tempo,Pop,Female,20130928,196,1,1992
236,Stockholm Syndrome,ONE DIRECTION,Yearning,Medium Tempo,Pop,Male,20141206,227,0,1994
237,Delirious (Boneless),"STEVE AOKI, CHRIS LAKE & TUJAMO featuring KID INK",Defiant,Medium Tempo,Electronica,Male,20140906,214,0,0
238,Irresistible,FALL OUT BOY,Defiant,Medium Tempo,Alternative & Punk,Male,20150124,2040,0,1984
239,Dust,ELI YOUNG BAND,Empowering,Medium Tempo,Traditional,Male,20140726,186,0,0
240,I Choose You,SARA BAREILLES,Yearning,Medium Tempo,Pop,Female,20140524,0,0,1979
241,What We Ain't Got,JAKE OWEN,Sentimental,Slow Tempo,Traditional,Male,20150117,251,0,1981
242,Wildest Dreams,TAYLOR SWIFT,Sensual,Medium Tempo,Pop,Female,20141115,225,0,1989
243,I Walk The Line,CRAIG WAYNE BOYD,Melancholy,Medium Tempo,Traditional,Male,20141213,286,0,1978
244,New Flame,CHRIS BROWN featuring USHER & RICK ROSS,Sensual,Medium Tempo,Urban,Male,20140719,286,0,1989
245,#SELFIE,THE CHAINSMOKERS,Energizing,Medium Tempo,Electronica,Male,20140315,213,0,0
246,Whatever She's Got,DAVID NAIL,Empowering,Medium Tempo,Traditional,Male,20140104,233,0,1979
247,Hey There Delilah,PLAIN WHITE T'S,Yearning,Medium Tempo,Alternative & Punk,Male,20070728,187,1,1979
248,Talking Body,TOVE LO,Energizing,Medium Tempo,Electronica,Female,20150214,211,0,0
249,God Made Girls,RAELYNN,Yearning,Medium Tempo,Traditional,Female,20141108,236,0,1994
250,Don't Stop,5 SECONDS OF SUMMER,Melancholy,Slow Tempo,Pop,Male,20140531,295,0,1996
251,Throw Sum Mo,RAE SREMMURD featuring NICKI MINAJ & YOUNG THUG,Cool,Medium Tempo,Urban,Mixed,20150117,266,0,1995
252,Whatcha Say,JASON DeRULO,Energizing,Medium Tempo,Pop,Male,20091114,358,1,1989
253,Whiskey In My Water,TYLER FARR,Empowering,Medium Tempo,Traditional,Male,20140412,72,0,0
254,You Sound Good To Me,LUCY HALE,Excited,Medium Tempo,Traditional,Female,20140125,140,0,1989
